,SitID,HorID,Pick,Quality,Tops
408,102633,3000,        ,-1,t51
409,102633,4000,        ,-1,t41
410,102633,5000,408,1,t31
411,102633,6000,        ,-1,clw_wab
412,102633,7000,427.5,1,t21
413,102633,9000,436,3,t15
414,102633,9500,436,3,e14
415,102633,10000,442,2,t11
416,102633,11000,446.5,3,t10.5
417,102633,12000,446.5,3,e10
418,102633,13000,446.5,3,mcmurray
419,102633,14000,473,1,paleozoic
420,102640,1000,331,1,mannville
421,102640,2000,        ,-1,t61
422,102640,3000,        ,-1,t51
423,102640,4000,        ,-1,t41
424,102640,5000,452.5,1,t31
425,102640,6000,        ,-1,clw_wab
426,102640,7000,473,2,t21
427,102640,9000,478.5,3,t15
428,102640,9500,478.5,3,e14
429,102640,10000,484,3,t11
430,102640,11000,488,3,t10.5
431,102640,12000,488,3,e10
432,102640,13000,488,3,mcmurray
433,102640,14000,521.5,1,paleozoic
434,102656,1000,314,1,mannville
435,102656,2000,        ,-1,t61
436,102656,3000,        ,-1,t51
437,102656,4000,        ,-1,t41
438,102656,5000,434,2,t31
439,102656,6000,        ,-1,clw_wab
440,102656,7000,456,2,t21
441,102656,9000,462.5,3,t15
442,102656,9500,462.5,3,e14
443,102656,10000,469,2,t11
444,102656,11000,473.5,3,t10.5
445,102656,12000,473.5,3,e10
446,102656,13000,473.5,3,mcmurray
447,102656,14000,498,4,paleozoic
448,102661,1000,311,1,mannville
449,102661,2000,        ,-1,t61
450,102661,3000,        ,-1,t51
451,102661,4000,        ,-1,t41
452,102661,5000,431,1,t31
453,102661,6000,        ,-1,clw_wab
454,102661,7000,453,2,t21
455,102661,9000,458,3,t15
456,102661,9500,458,3,e14
457,102661,10000,463.5,2,t11
458,102661,11000,468,3,t10.5
459,102661,12000,468,3,e10
460,102661,13000,468,3,mcmurray
461,102661,14000,499,4,paleozoic
462,102666,1000,289.56,1,mannville
463,102666,2000,        ,-1,t61
464,102666,3000,        ,-1,t51
465,102666,4000,        ,-1,t41
466,102666,5000,414.53,2,t31
467,102666,6000,        ,-1,clw_wab
468,102666,7000,435.25,1,t21
469,102666,9000,440.13,3,t15
470,102666,9500,440.13,3,e14
471,102666,10000,444.09,2,t11
472,102666,11000,450.49,2,t10.5
473,102666,12000,450.49,2,e10
474,102666,13000,450.49,2,mcmurray
